file_name,520 or 570?,Absence Of Migrating Cells Coming From Colony Out Of FOV At Time Of Migration,Acquisition Time by Timepoint,Age Of Cells At Imaging,Argolight pattern,Argolight Slide ID,Automated EMT prep or Manual EMT prep,Balling - Complete Colony Lifted,Bank Number,Beat Date,Binning,Cache Eviction Date,Camera Alignment Metric - Rotation,Camera Alignment Metric - Scale,Camera Alignment Metric - Shift X,Camera Alignment Metric - Shift Y,Camera exposure time (ms),Camera Speed,Cas9,Cas9 Batch,Celigo Scan Date,Celigo Scan Time,Cell Batch,Cell Line,Cell Line R And D,Channel 1,Channel 1 emission filter,Channel 1 exposure time (ms),Channel 2,Channel 2 emission filter,Channel 2 exposure time (ms),Channel 3,Channel 3 emission filter,Channel 3 exposure time (ms),Channel 4,Channel Type,channel-hcr405,channel-hcr488,channel-hcr561,channel-hcr638,Channels To Shift,"Chiron added manually or automatically ",Clone,Clone Copy#,CofA Image Type,Cold Store Candidate,Collection Date,Colony Size,Column,Confluency,Content Generation Algorithm,Cr Rna,Cr Rna Batch,Craters?,Crispr Number,dataset_id,Date,Day of Image,Days Since Differentiation,Demo Instrument,Deskew method,Diff Scientist,Diff State,Dimension,Dimensions Present,Donor Plasmid,Donor Plasmid Batch,Draft or Final Workup,EMT Condition,Endothelial Passage,Excessive cell death during EMT,Experiment Type,Fastq File,file_id,File ID Of Raw Or Aligned Linked Data,file_path,File Path (Local VAST),File Type,fishExperimentDate,fishType,fixDate,fixedCellAge,Flow regime descriptor,Fluorescent Protein,Fov,Fresh Or Frozen,Fused or not,Gene,Glass Morphology Score,Glass Or Plastic Plate,ibidi uChannel size,Image Processing,Image Size C,Image Size T,Image Size X,Image Size Y,Image Size Z,Imaged By,Imaging,Imaging Date,Imaging Session,Imaging Session Datetime,Imaging Time,Immersion Media,Included In Release,Input File,Instrument,Internal or External Handoff?,Is Aligned,Is Continuous,Is Dual Camera,Is Optical Control,Is Solution Applied,Is Split Scene,Kind,Lattice lightsheet beam type,Lifting?,"Lightsheet size ",Live Or Fixed,Microscope,Microscope modality,Microscopy Objective,mlflow run id,Month_Year of Release,Morphology Score,Multiposition,MXS Processing Failed,MXS Version Used,Notes,Number of phase in Lattice SIM,Number of Scenes,Objective,Objective lens media (microscope demo),Objective Mag,Objective NA,OneNote Link,Optical Control ID,Original Diff Or Replate,Parental Cell Line,Passage,Pipeline 8,Pipeline Collection,Pixel Size X,Pixel Size Y,Pixel Size Z,Plate Barcode,Plate Batch,Plate Geometry,Plate Layout,Plate Seeded On,Plate Status,Plate Type,population,Position Index,Presence of migration,Processing Applied,Processing Date,Produced By,Program,Protein,Protocol,Protocol Applied,Qc,QC 638nm Crop Bottom False Clip,QC 638nm Crop Top False Clip,QC Brightfield Z Stack Out of Order,QC Pass Intensity,Qualitative Confluency,Quality Control Status,Reference Channel,Release Component,Replate Duration,replateDate,Replicate,Round #,Row,Run,"Sample 1 (proteins, labels)",Sample 1 positions,Sample 1 settings,"Sample 2 (proteins, labels)",Sample 2 positions,Sample 2 settings,Sample Name,Scene Index,Seq_library_notes,Seq_library_type,Seq_sample_id,Seq_submission_date,Seq_submission_id,Sequencing_facility,Setting 1 exposure time (ms),Setting 1 illumination OD,Setting 1 illumination power %,Setting 1 light source,Setting 2 exposure time (ms),Setting 2 illumination OD,Setting 2 illumination power %,Setting 2 light source,"Setting 3 exposure time (ms) ",Setting 3 illumination OD,Setting 3 illumination power %,Setting 3 light source,Setting 4 exposure time (ms),Setting 4 illumination OD,Setting 4 illumination power %,Setting 4 light source,Shear Stress 1 end time,Shear Stress 1 measured (dyn/cm2),Shear Stress 1 start time,Shear Stress 1 target (dyn/cm2),Shear Stress 2 end time,Shear Stress 2 measured (dyn/cm2),Shear Stress 2 start time,Shear Stress 2 target (dyn/cm2),Shift Channel,Should Be in Local Cache,Single Colony Or Lumenoid At Time of Migration,file_size,Solution,Solution Lot,Solution Lot Batch Volume,Solution Lot Catalog,Solution Lot Date,Solution Lot Expiration Date,Solution Lot Host,Solution Lot Id,Solution Lot Stock Concentration,Solution Lot Stock Dilution Factor,Solution Lot Vendor,Solution Volume,Solution Working Concentration,Sorted for,Stage,Stage of blot,Structure,Tag Location,Template,thumbnail,Time interval,Time interval (min),Time points,Time Since CHIR,Timelapse,Timelapse Interval,Timepoints surrounding shear stress change,To Be Deleted,Total Cell Count,Total Time Duration,Tube formation assay?,Type,Undiff Morphology,Undiff Source Density,uploaded,Uploaded by,Vendor and instruments,Virus,Volume Stacking?,Well Group,Well Label,Workflow,x-scan step size (um),ZSTD compressed?
3500007213_20250321_20X_timelapse-01(P65-F11).xml,,,,,,,,,,,,,,,,,,,spCas9,2017_Batch2,,,,AICS-61,,,,,,,,,,,,,,,,,,,36,,,false,,,,,,HIST1H2BJ_crRNA-1,HIST1H2BJ_crRNA-1-B1,,,,,,,,,,DiffOnGlass,,,HIST1H2BJ-mEGFP,HIST1H2BJ-mEGFP,,3D MG EMT 1:60 MG,,,EMT Perturbation,,24c9b0a9a5124d659512c50417f34784,,https://s3.us-west-2.amazonaws.com/production.files.allencell.org/784/f34/417/c50/512/659/24d/a51/0a9/c9b/24/3500007213_20250321_20X_timelapse-01(P65-F11).xml,,,,,,,,mEGFP,,,,HIST1H2BJ,,,,,,,,,,,,,,,,,,d96af15d8d584a30a391688f17dcdea9,ZSD-1,,false,,true,,,true,XML file,,,,,,,,,,,,,,,,,20x/0.80,,,,,,,,30.0,,,,,,3500007213,60_20250317_HP3Seed,96 Well Plate - CellVis,,Mon Mar 17 07:00:00 GMT 2025,Disposed,RnD - Imaging,,65.0,,,,,EMT,histone H2B type 1-J,Single Gene HDR Edit,,false,,,,,,,,,,,,,,,,,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,7949850,Anti Collagen IV 660|3D MG EMT 1:60 MG|Diluted Matrigel in mTeSR|Diluted Matrigel|Diluted Matrigel Lot 3115927 + DMEM/F12|CHIR99021|B27-/RPMI,151|2445009|3115927,,50-9871-82,,,,1757: 3191|1105: 5885|296: 5816|2455: 3194|1667: 3704|2235: 3703|4: 3705,60 1:X|25 mM|600 1:X,1 : 5000|1 : 60|1 : 52,ThermoFisher|Cayman Chemical,,,,"Clones, final bank",,heterochromatin,C-terminus,,,,,,,true,1800000,,,,,,other,,,Thu Aug 14 19:50:36 GMT 2025,seanm,,,,Custom Data,F11,,,
3500007213_20250321_20X_timelapse-01(P65-F11).ome.zarr,,,,,,,,,,,,,,,,,,,spCas9,2017_Batch2,,,,AICS-61,,,,,,,,,,,,,,,,,,,36,,,false,,,,,,HIST1H2BJ_crRNA-1,HIST1H2BJ_crRNA-1-B1,,,,,,,,,,DiffOnGlass,,,HIST1H2BJ-mEGFP,HIST1H2BJ-mEGFP,,3D MG EMT 1:60 MG,,,EMT Perturbation,,33edb303d7d94de8951df0b9620ed861,,https://s3.us-west-2.amazonaws.com/production.files.allencell.org/861/0ed/962/f0b/51d/e89/94d/d7d/303/edb/33/3500007213_20250321_20X_timelapse-01(P65-F11).ome.zarr,,,,,,,,mEGFP,,,,HIST1H2BJ,,,,,,,,,,,,,,,,,,d96af15d8d584a30a391688f17dcdea9,ZSD-1,,false,,true,,,true,OME ZARR image,,,,,,,,,,,,,,,,,20x/0.80,,,,,,,,30.0,,,,,,3500007213,60_20250317_HP3Seed,96 Well Plate - CellVis,,Mon Mar 17 07:00:00 GMT 2025,Disposed,RnD - Imaging,,65.0,,,,,EMT,histone H2B type 1-J,Single Gene HDR Edit,,false,,,,,,,,,,,,,,,,,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,45240438470,Anti Collagen IV 660|3D MG EMT 1:60 MG|Diluted Matrigel in mTeSR|Diluted Matrigel|Diluted Matrigel Lot 3115927 + DMEM/F12|CHIR99021|B27-/RPMI,151|2445009|3115927,,50-9871-82,,,,1757: 3191|1105: 5885|296: 5816|2455: 3194|1667: 3704|2235: 3703|4: 3705,60 1:X|25 mM|600 1:X,1 : 5000|1 : 60|1 : 52,ThermoFisher|Cayman Chemical,,,,"Clones, final bank",,heterochromatin,C-terminus,,,,,,,true,1800000,,,,,,other,,,Thu Aug 14 19:49:33 GMT 2025,seanm,,,,Custom Data,F11,,,
3500007213_20250321_20X_timelapse-01(P64-F11).xml,,,,,,,,,,,,,,,,,,,spCas9,2017_Batch2,,,,AICS-61,,,,,,,,,,,,,,,,,,,36,,,false,,,,,,HIST1H2BJ_crRNA-1,HIST1H2BJ_crRNA-1-B1,,,,,,,,,,DiffOnGlass,,,HIST1H2BJ-mEGFP,HIST1H2BJ-mEGFP,,3D MG EMT 1:60 MG,,,EMT Perturbation,,8643372ae80e43c0a881194ab0191f45,,https://s3.us-west-2.amazonaws.com/production.files.allencell.org/f45/191/ab0/194/881/c0a/e43/e80/72a/433/86/3500007213_20250321_20X_timelapse-01(P64-F11).xml,,,,,,,,mEGFP,,,,HIST1H2BJ,,,,,,,,,,,,,,,,,,d96af15d8d584a30a391688f17dcdea9,ZSD-1,,false,,true,,,true,XML file,,,,,,,,,,,,,,,,,20x/0.80,,,,,,,,30.0,,,,,,3500007213,60_20250317_HP3Seed,96 Well Plate - CellVis,,Mon Mar 17 07:00:00 GMT 2025,Disposed,RnD - Imaging,,64.0,,,,,EMT,histone H2B type 1-J,Single Gene HDR Edit,,false,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,7949850,Anti Collagen IV 660|3D MG EMT 1:60 MG|Diluted Matrigel in mTeSR|Diluted Matrigel|Diluted Matrigel Lot 3115927 + DMEM/F12|CHIR99021|B27-/RPMI,151|2445009|3115927,,50-9871-82,,,,1757: 3191|1105: 5885|296: 5816|2455: 3194|1667: 3704|2235: 3703|4: 3705,60 1:X|25 mM|600 1:X,1 : 5000|1 : 60|1 : 52,ThermoFisher|Cayman Chemical,,,,"Clones, final bank",,heterochromatin,C-terminus,,,,,,,true,1800000,,,,,,other,,,Thu Aug 14 17:43:40 GMT 2025,seanm,,,,Custom Data,F11,,,
3500007213_20250321_20X_timelapse-01(P64-F11).ome.zarr,,,,,,,,,,,,,,,,,,,spCas9,2017_Batch2,,,,AICS-61,,,,,,,,,,,,,,,,,,,36,,,false,,,,,,HIST1H2BJ_crRNA-1,HIST1H2BJ_crRNA-1-B1,,,,,,,,,,DiffOnGlass,,,HIST1H2BJ-mEGFP,HIST1H2BJ-mEGFP,,3D MG EMT 1:60 MG,,,EMT Perturbation,,1f0a97bd2bce4a2897fcbcde95239d21,,https://s3.us-west-2.amazonaws.com/production.files.allencell.org/d21/239/e95/bcd/7fc/289/e4a/2bc/7bd/0a9/1f/3500007213_20250321_20X_timelapse-01(P64-F11).ome.zarr,,,,,,,,mEGFP,,,,HIST1H2BJ,,,,,,,,,,,,,,,,,,d96af15d8d584a30a391688f17dcdea9,ZSD-1,,false,,true,,,true,OME ZARR image,,,,,,,,,,,,,,,,,20x/0.80,,,,,,,,30.0,,,,,,3500007213,60_20250317_HP3Seed,96 Well Plate - CellVis,,Mon Mar 17 07:00:00 GMT 2025,Disposed,RnD - Imaging,,64.0,,,,,EMT,histone H2B type 1-J,Single Gene HDR Edit,,false,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,45273008201,Anti Collagen IV 660|3D MG EMT 1:60 MG|Diluted Matrigel in mTeSR|Diluted Matrigel|Diluted Matrigel Lot 3115927 + DMEM/F12|CHIR99021|B27-/RPMI,151|2445009|3115927,,50-9871-82,,,,1757: 3191|1105: 5885|296: 5816|2455: 3194|1667: 3704|2235: 3703|4: 3705,60 1:X|25 mM|600 1:X,1 : 5000|1 : 60|1 : 52,ThermoFisher|Cayman Chemical,,,,"Clones, final bank",,heterochromatin,C-terminus,,,,,,,true,1800000,,,,,,other,,,Thu Aug 14 17:42:24 GMT 2025,seanm,,,,Custom Data,F11,,,
3500007213_20250321_20X_timelapse-01(P63-F11).xml,,,,,,,,,,,,,,,,,,,spCas9,2017_Batch2,,,,AICS-61,,,,,,,,,,,,,,,,,,,36,,,false,,,,,,HIST1H2BJ_crRNA-1,HIST1H2BJ_crRNA-1-B1,,,,,,,,,,DiffOnGlass,,,HIST1H2BJ-mEGFP,HIST1H2BJ-mEGFP,,3D MG EMT 1:60 MG,,,EMT Perturbation,,fbb69edb4a414385b6671f30fe786046,,https://s3.us-west-2.amazonaws.com/production.files.allencell.org/046/786/0fe/1f3/667/85b/143/4a4/edb/b69/fb/3500007213_20250321_20X_timelapse-01(P63-F11).xml,,,,,,,,mEGFP,,,,HIST1H2BJ,,,,,,,,,,,,,,,,,,d96af15d8d584a30a391688f17dcdea9,ZSD-1,,false,,true,,,true,XML file,,,,,,,,,,,,,,,,,20x/0.80,,,,,,,,30.0,,,,,,3500007213,60_20250317_HP3Seed,96 Well Plate - CellVis,,Mon Mar 17 07:00:00 GMT 2025,Disposed,RnD - Imaging,,63.0,,,,,EMT,histone H2B type 1-J,Single Gene HDR Edit,,false,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,7949850,Anti Collagen IV 660|3D MG EMT 1:60 MG|Diluted Matrigel in mTeSR|Diluted Matrigel|Diluted Matrigel Lot 3115927 + DMEM/F12|CHIR99021|B27-/RPMI,151|2445009|3115927,,50-9871-82,,,,1757: 3191|1105: 5885|296: 5816|2455: 3194|1667: 3704|2235: 3703|4: 3705,60 1:X|25 mM|600 1:X,1 : 5000|1 : 60|1 : 52,ThermoFisher|Cayman Chemical,,,,"Clones, final bank",,heterochromatin,C-terminus,,,,,,,true,1800000,,,,,,other,,,Thu Aug 14 15:49:54 GMT 2025,seanm,,,,Custom Data,F11,,,
3500007213_20250321_20X_timelapse-01(P63-F11).ome.zarr,,,,,,,,,,,,,,,,,,,spCas9,2017_Batch2,,,,AICS-61,,,,,,,,,,,,,,,,,,,36,,,false,,,,,,HIST1H2BJ_crRNA-1,HIST1H2BJ_crRNA-1-B1,,,,,,,,,,DiffOnGlass,,,HIST1H2BJ-mEGFP,HIST1H2BJ-mEGFP,,3D MG EMT 1:60 MG,,,EMT Perturbation,,c1dce5f49db946a4b0a5b7ffb9d02c10,,https://s3.us-west-2.amazonaws.com/production.files.allencell.org/c10/d02/fb9/b7f/0a5/a4b/946/9db/5f4/dce/c1/3500007213_20250321_20X_timelapse-01(P63-F11).ome.zarr,,,,,,,,mEGFP,,,,HIST1H2BJ,,,,,,,,,,,,,,,,,,d96af15d8d584a30a391688f17dcdea9,ZSD-1,,false,,true,,,true,OME ZARR image,,,,,,,,,,,,,,,,,20x/0.80,,,,,,,,30.0,,,,,,3500007213,60_20250317_HP3Seed,96 Well Plate - CellVis,,Mon Mar 17 07:00:00 GMT 2025,Disposed,RnD - Imaging,,63.0,,,,,EMT,histone H2B type 1-J,Single Gene HDR Edit,,false,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,45230618216,Anti Collagen IV 660|3D MG EMT 1:60 MG|Diluted Matrigel in mTeSR|Diluted Matrigel|Diluted Matrigel Lot 3115927 + DMEM/F12|CHIR99021|B27-/RPMI,151|2445009|3115927,,50-9871-82,,,,1757: 3191|1105: 5885|296: 5816|2455: 3194|1667: 3704|2235: 3703|4: 3705,60 1:X|25 mM|600 1:X,1 : 5000|1 : 60|1 : 52,ThermoFisher|Cayman Chemical,,,,"Clones, final bank",,heterochromatin,C-terminus,,,,,,,true,1800000,,,,,,other,,,Thu Aug 14 15:48:21 GMT 2025,seanm,,,,Custom Data,F11,,,
3500007213_20250321_20X_timelapse-01(P61-F10).xml,,,,,,,,,,,,,,,,,,,spCas9,2017_Batch2,,,,AICS-61,,,,,,,,,,,,,,,,,,,36,,,false,,,,,,HIST1H2BJ_crRNA-1,HIST1H2BJ_crRNA-1-B1,,,,,,,,,,DiffOnGlass,,,HIST1H2BJ-mEGFP,HIST1H2BJ-mEGFP,,3D MG EMT 1:60 MG HBSS 1X,,,EMT Perturbation,,64751a0f7d2e46b1932795e518ada77a,,https://s3.us-west-2.amazonaws.com/production.files.allencell.org/77a/ada/518/95e/327/b19/e46/7d2/a0f/751/64/3500007213_20250321_20X_timelapse-01(P61-F10).xml,,,,,,,,mEGFP,,,,HIST1H2BJ,,,,,,,,,,,,,,,,,,d96af15d8d584a30a391688f17dcdea9,ZSD-1,,false,,true,,,true,XML file,,,,,,,,,,,,,,,,,20x/0.80,,,,,,,,30.0,,,,,,3500007213,60_20250317_HP3Seed,96 Well Plate - CellVis,,Mon Mar 17 07:00:00 GMT 2025,Disposed,RnD - Imaging,,61.0,,,,,EMT,histone H2B type 1-J,Single Gene HDR Edit,,false,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,7949850,"Anti Collagen IV 660|1X HBSS, calcium, magnesium, no PR|Diluted Matrigel in mTeSR|Diluted Matrigel|Diluted Matrigel Lot 3115927 + DMEM/F12|3D MG EMT 1:60 MG HBSS 1X|CHIR99021|B27-/RPMI",151|2445009|3115927,,50-9871-82,,,,1105: 5885|296: 5816|3015: 4685|2455: 3194|1667: 3704|2235: 3703|3163: 4834|4: 3705,25 mM|60 1:X|1 1:X|600 1:X,1 : 5000|1 : 60|1 : 52,ThermoFisher|Cayman Chemical,,,,"Clones, final bank",,heterochromatin,C-terminus,,,,,,,true,1800000,,,,,,other,,,Thu Aug 14 14:08:05 GMT 2025,seanm,,,,Custom Data,F10,,,
3500007213_20250321_20X_timelapse-01(P61-F10).ome.zarr,,,,,,,,,,,,,,,,,,,spCas9,2017_Batch2,,,,AICS-61,,,,,,,,,,,,,,,,,,,36,,,false,,,,,,HIST1H2BJ_crRNA-1,HIST1H2BJ_crRNA-1-B1,,,,,,,,,,DiffOnGlass,,,HIST1H2BJ-mEGFP,HIST1H2BJ-mEGFP,,3D MG EMT 1:60 MG HBSS 1X,,,EMT Perturbation,,550dd40f7fe64bfa99e37130d7887878,,https://s3.us-west-2.amazonaws.com/production.files.allencell.org/878/887/0d7/713/9e3/fa9/64b/7fe/40f/0dd/55/3500007213_20250321_20X_timelapse-01(P61-F10).ome.zarr,,,,,,,,mEGFP,,,,HIST1H2BJ,,,,,,,,,,,,,,,,,,d96af15d8d584a30a391688f17dcdea9,ZSD-1,,false,,true,,,true,OME ZARR image,,,,,,,,,,,,,,,,,20x/0.80,,,,,,,,30.0,,,,,,3500007213,60_20250317_HP3Seed,96 Well Plate - CellVis,,Mon Mar 17 07:00:00 GMT 2025,Disposed,RnD - Imaging,,61.0,,,,,EMT,histone H2B type 1-J,Single Gene HDR Edit,,false,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,44890439057,"Anti Collagen IV 660|1X HBSS, calcium, magnesium, no PR|Diluted Matrigel in mTeSR|Diluted Matrigel|Diluted Matrigel Lot 3115927 + DMEM/F12|3D MG EMT 1:60 MG HBSS 1X|CHIR99021|B27-/RPMI",151|2445009|3115927,,50-9871-82,,,,1105: 5885|296: 5816|3015: 4685|2455: 3194|1667: 3704|2235: 3703|3163: 4834|4: 3705,25 mM|60 1:X|1 1:X|600 1:X,1 : 5000|1 : 60|1 : 52,ThermoFisher|Cayman Chemical,,,,"Clones, final bank",,heterochromatin,C-terminus,,,,,,,true,1800000,,,,,,other,,,Thu Aug 14 14:06:41 GMT 2025,seanm,,,,Custom Data,F10,,,
3500007213_20250321_20X_timelapse-01(P60-F10).xml,,,,,,,,,,,,,,,,,,,spCas9,2017_Batch2,,,,AICS-61,,,,,,,,,,,,,,,,,,,36,,,false,,,,,,HIST1H2BJ_crRNA-1,HIST1H2BJ_crRNA-1-B1,,,,,,,,,,DiffOnGlass,,,HIST1H2BJ-mEGFP,HIST1H2BJ-mEGFP,,3D MG EMT 1:60 MG HBSS 1X,,,EMT Perturbation,,b7c072394d90496597958bc6e3b530cf,,https://s3.us-west-2.amazonaws.com/production.files.allencell.org/0cf/b53/6e3/8bc/795/659/049/4d9/239/c07/b7/3500007213_20250321_20X_timelapse-01(P60-F10).xml,,,,,,,,mEGFP,,,,HIST1H2BJ,,,,,,,,,,,,,,,,,,d96af15d8d584a30a391688f17dcdea9,ZSD-1,,false,,true,,,true,XML file,,,,,,,,,,,,,,,,,20x/0.80,,,,,,,,30.0,,,,,,3500007213,60_20250317_HP3Seed,96 Well Plate - CellVis,,Mon Mar 17 07:00:00 GMT 2025,Disposed,RnD - Imaging,,60.0,,,,,EMT,histone H2B type 1-J,Single Gene HDR Edit,,false,,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,7949850,"Anti Collagen IV 660|1X HBSS, calcium, magnesium, no PR|Diluted Matrigel in mTeSR|Diluted Matrigel|Diluted Matrigel Lot 3115927 + DMEM/F12|3D MG EMT 1:60 MG HBSS 1X|CHIR99021|B27-/RPMI",151|2445009|3115927,,50-9871-82,,,,1105: 5885|296: 5816|3015: 4685|2455: 3194|1667: 3704|2235: 3703|3163: 4834|4: 3705,25 mM|60 1:X|1 1:X|600 1:X,1 : 5000|1 : 60|1 : 52,ThermoFisher|Cayman Chemical,,,,"Clones, final bank",,heterochromatin,C-terminus,,,,,,,true,1800000,,,,,,other,,,Thu Aug 14 12:31:37 GMT 2025,seanm,,,,Custom Data,F10,,,
3500007213_20250321_20X_timelapse-01(P60-F10).ome.zarr,,,,,,,,,,,,,,,,,,,spCas9,2017_Batch2,,,,AICS-61,,,,,,,,,,,,,,,,,,,36,,,false,,,,,,HIST1H2BJ_crRNA-1,HIST1H2BJ_crRNA-1-B1,,,,,,,,,,DiffOnGlass,,,HIST1H2BJ-mEGFP,HIST1H2BJ-mEGFP,,3D MG EMT 1:60 MG HBSS 1X,,,EMT Perturbation,,778ae015238d46018fa19f79d3f8c4cf,,https://s3.us-west-2.amazonaws.com/production.files.allencell.org/4cf/f8c/9d3/9f7/fa1/018/d46/238/015/8ae/77/3500007213_20250321_20X_timelapse-01(P60-F10).ome.zarr,,,,,,,,mEGFP,,,,HIST1H2BJ,,,,,,,,,,,,,,,,,,d96af15d8d584a30a391688f17dcdea9,ZSD-1,,false,,true,,,true,OME ZARR image,,,,,,,,,,,,,,,,,20x/0.80,,,,,,,,30.0,,,,,,3500007213,60_20250317_HP3Seed,96 Well Plate - CellVis,,Mon Mar 17 07:00:00 GMT 2025,Disposed,RnD - Imaging,,60.0,,,,,EMT,histone H2B type 1-J,Single Gene HDR Edit,,false,,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,44907190424,"Anti Collagen IV 660|1X HBSS, calcium, magnesium, no PR|Diluted Matrigel in mTeSR|Diluted Matrigel|Diluted Matrigel Lot 3115927 + DMEM/F12|3D MG EMT 1:60 MG HBSS 1X|CHIR99021|B27-/RPMI",151|2445009|3115927,,50-9871-82,,,,1105: 5885|296: 5816|3015: 4685|2455: 3194|1667: 3704|2235: 3703|3163: 4834|4: 3705,25 mM|60 1:X|1 1:X|600 1:X,1 : 5000|1 : 60|1 : 52,ThermoFisher|Cayman Chemical,,,,"Clones, final bank",,heterochromatin,C-terminus,,,,,,,true,1800000,,,,,,other,,,Thu Aug 14 12:30:27 GMT 2025,seanm,,,,Custom Data,F10,,,
